"layer","id","total_time","sub_sec_cnt","sub_acc_cnt","dep","MERGE"
"641",1,633,3038,10,0,1455,10
"642",1,633,4970,10,0,3969,9
"643",1,633,4785,10,0,3659,17
"644",1,633,3630,10,0,2495,12
"645",1,633,2795,10,0,1449,10
"646",1,633,2054,10,0,880,10
"647",1,633,3872,10,0,2746,11
"648",1,633,3461,10,0,2178,11
"649",1,633,2176,10,0,1161,11
"650",1,633,2916,10,0,1761,11
"651",1,633,2408,10,0,1068,11
"652",1,633,3565,10,0,2008,10
"653",1,633,3509,10,0,2160,10
"654",1,633,2982,10,0,1971,11
"655",1,633,2973,10,0,1622,11
"656",1,633,2120,10,0,1066,10
"657",1,633,2503,10,0,1177,10
"658",1,633,3808,10,0,2153,11
"659",1,633,2357,10,0,1236,10
"660",1,633,4260,10,0,2261,10
"661",1,633,4236,10,0,2023,11
"662",1,633,4593,10,0,2041,10
"663",1,633,3879,10,0,1232,10
"664",1,633,4805,10,0,2194,10
"665",1,633,3881,10,0,1145,10
"666",1,633,5169,10,0,2280,10
"667",1,633,5307,10,0,2300,10
"668",1,633,4674,10,0,1793,10
"669",1,633,3665,10,0,2274,10
"670",1,633,3710,10,0,1445,10
"671",1,633,4409,10,0,2110,10
"672",1,633,2976,10,0,1919,11
"673",1,633,3392,10,0,1720,11
"674",1,633,2599,10,0,1494,10
"675",1,633,2968,10,0,1959,10
"676",1,633,3561,10,0,2141,11
"677",1,633,2329,10,0,1085,9
"678",1,633,2458,10,0,1076,10
"679",1,633,2629,10,0,1115,10
"680",1,633,3162,10,0,1311,10
"681",1,633,2909,10,0,1384,11
"682",1,633,3580,10,0,2068,15
"683",1,633,3704,10,0,2170,10
"684",1,633,3040,10,0,1952,10
"685",1,633,3948,10,0,1953,11
"686",1,633,5457,10,0,4221,9
"687",1,633,4124,10,0,3117,11
